t_s,y_pred_mOhm,u_cmd,e,r
140.0,1.025834805967529,0.9199410995526033,-0.005715580598180781,1.02
141.0,1.0257155805981808,0.9210603705983698,-0.005598791417589455,1.02
142.0,1.0255987914175895,0.9221567710457693,-0.005484388645949689,1.02
143.0,1.0254843886459497,0.9232307682206313,-0.005372323520631106,1.02
144.0,1.0253723235206311,0.9242828198996939,-0.005262548275392964,1.02
145.0,1.025262548275393,0.9253133745057248,-0.005155016120024669,1.02
146.0,1.0251550161200247,0.9263228712986561,-0.005049681220402613,1.02
147.0,1.0250496812204026,0.9273117405628122,-0.0049464986789538035,1.02
148.0,1.0249464986789538,0.9282804037903132,-0.00484542451551806,1.02
149.0,1.024845424515518,0.9292292738607297,-0.004746415648603897,1.02
150.0,1.024746415648604,0.9301587552170677,-0.004649429877023437,1.02
151.0,1.0246494298770235,0.9310692440381563,-0.004554425861905909,1.02
152.0,1.024554425861906,0.9319611284075139,-0.004461363109077743,1.02
153.0,1.0244613631090778,0.9328347884787638,-0.004370201951802155,1.02
154.0,1.0243702019518022,0.9336905966376691,-0.004280903533872005,1.02
155.0,1.024280903533872,0.9345289176608574,-0.004193429793046821,1.02
156.0,1.0241934297930468,0.9353501088713018,-0.004107743444830447,1.02
157.0,1.0241077434448305,0.9361545202906246,-0.004023807966577531,1.02
158.0,1.0240238079665775,0.9369424947882896,-0.003941587581929085,1.02
159.0,1.023941587581929,0.9377143682277458,-0.003861047245560245,1.02
160.0,1.0238610472455603,0.938470469609584,-0.0037821526282442175,1.02
161.0,1.0237821526282442,0.9392111212117698,-0.0037048701022202035,1.02
162.0,1.0237048701022202,0.9399366387270089,-0.0036291667268582017,1.02
163.0,1.0236291667268582,0.9406473313973083,-0.0035550102346211254,1.02
164.0,1.0235550102346211,0.9413435021457851,-0.0034823690173095834,1.02
165.0,1.0234823690173096,0.9420254477057848,-0.0034112121125888795,1.02
166.0,1.023411212112589,0.9426934587473584,-0.0033415091907929018,1.02
167.0,1.023341509190793,0.9433478200011578,-0.0032732305419962415,1.02
168.0,1.0232732305419963,0.9439888103797978,-0.0032063470633507674,1.02
169.0,1.0232063470633508,0.9446167030967388,-0.003140830246679771,1.02
170.0,1.0231408302466798,0.9452317657827406,-0.003076652166328131,1.02
171.0,1.0230766521663281,0.9458342605999359,-0.003013785467259389,1.02
172.0,1.0230137854672594,0.9464244443535741,-0.0029522033533948555,1.02
173.0,1.0229522033533949,0.9470025686014801,-0.0028918795761936344,1.02
174.0,1.0228918795761937,0.9475688797612786,-0.0028327884234626843,1.02
175.0,1.0228327884234627,0.9481236192154249,-0.0027749047083995837,1.02
176.0,1.0227749047083996,0.9486670234140921,-0.00271820375885512,1.02
177.0,1.0227182037588551,0.9491993239759543,-0.0026626614068188115,1.02
178.0,1.0226626614068188,0.9497207477869107,-0.0026082539781151493,1.02
179.0,1.0226082539781152,0.9502315170967931,-0.002554958282315667,1.02
180.0,1.0225549582823157,0.9507318496140964,-0.0025027516028526264,1.02
181.0,1.0225027516028526,0.9512219585987743,-0.002451611687335875,1.02
182.0,1.022451611687336,0.9517020529531381,-0.0024015167380699864,1.02
183.0,1.02240151673807,0.9521723373108989,-0.0023524454027616937,1.02
184.0,1.0223524454027617,0.9526330121243896,-0.0023043767654191694,1.02
185.0,1.0223043767654192,0.9530842737500048,-0.002257290337437823,1.02
186.0,1.0222572903374378,0.9535263145318962,-0.0022111660488659535,1.02
187.0,1.022211166048866,0.953959322883955,-0.0021659842398513707,1.02
188.0,1.0221659842398514,0.9543834833701224,-0.00212172565225921,1.02
189.0,1.0221217256522592,0.9547989767830558,-0.002078371421466718,1.02
190.0,1.0220783714214667,0.9552059802211906,-0.002035903068320799,1.02
191.0,1.0220359030683208,0.9556046671642257,-0.001994302491261646,1.02
192.0,1.0219943024912617,0.9559952075470661,-0.001953551958606914,1.02
193.0,1.021953551958607,0.9563777678322565,-0.0019136341009944324,1.02
194.0,1.0219136341009945,0.9567525110809328,-0.0018745319039792374,1.02
195.0,1.0218745319039793,0.9571195970223256,-0.0018362287007791522,1.02
196.0,1.0218362287007792,0.9574791821218414,-0.0017987081651733572,1.02
197.0,1.0217987081651734,0.9578314196477549,-0.0017619543045421793,1.02
198.0,1.0217619543045422,0.9581764597365371,-0.0017259514530505449,1.02
199.0,1.0217259514530506,0.9585144494568488,-0.0016906842649704323,1.02
200.0,1.0216906842649705,0.958845532872227,-0.0016561377081418804,1.02
201.0,1.021656137708142,0.9591698511024896,-0.0016222970575625606,1.02
202.0,1.0216222970575626,0.9594875423838862,-0.0015891478891141286,1.02
203.0,1.0215891478891141,0.9597987421280193,-0.0015566760734131435,1.02
204.0,1.0215566760734132,0.9601035829795618,-0.0015248677697883295,1.02
205.0,1.0215248677697883,0.9604021948727944,-0.001493709420381073,1.02
206.0,1.021493709420381,0.9606947050869892,-0.001463187744367378,1.02
207.0,1.0214631877443674,0.9609812383006598,-0.0014332897322961724,1.02
208.0,1.0214332897322962,0.9612619166447048,-0.001404002640546187,1.02
209.0,1.0214040026405462,0.961536859754464,-0.001375313985890525,1.02
210.0,1.0213753139858905,0.961806184820711,-0.0013472115401798046,1.02
211.0,1.0213472115401798,0.9620700066396048,-0.0013196833251267748,1.02
212.0,1.0213196833251268,0.9623284376616196,-0.0012927176072032864,1.02
213.0,1.0212927176072033,0.9625815880394755,-0.0012663028926369613,1.02
214.0,1.021266302892637,0.9628295656750896,-0.00124042792251422,1.02
215.0,1.0212404279225142,0.9630724762655679,-0.0012150816679796783,1.02
216.0,1.0212150816679797,0.9633104233482569,-0.001190253325536128,1.02
217.0,1.0211902533255361,0.9635435083448753,-0.0011659323124391108,1.02
218.0,1.0211659323124391,0.9637718306047438,-0.0011421082621863032,1.02
219.0,1.0211421082621863,0.9639954874471306,-0.001118771020099496,1.02
220.0,1.0211187710200995,0.9642145742027332,-0.0010959106389953899,1.02
221.0,1.0210959106389954,0.9644291842543113,-0.00107351737494632,1.02
222.0,1.0210735173749463,0.9646394090764908,-0.001051581683127134,1.02
223.0,1.0210515816831272,0.9648453382747524,-0.0010300942137460023,1.02
224.0,1.021030094213746,0.9650470596236254,-0.0010090458080611597,1.02
225.0,1.0210090458080612,0.9652446591041006,-0.0009884274944749194,1.02
226.0,1.020988427494475,0.9654382209402783,-0.0009682304847098422,1.02
227.0,1.0209682304847099,0.9656278276352672,-0.0009484461700650648,1.02
228.0,1.020948446170065,0.9658135600063512,-0.0009290661177436821,1.02
229.0,1.0209290661177437,0.9659954972194357,-0.0009100820672622856,1.02
230.0,1.0209100820672623,0.9661737168227919,-0.0008914859269262276,1.02
231.0,1.0208914859269262,0.9663482947801099,-0.0008732697703826009,1.02
232.0,1.0208732697703826,0.9665193055028777,-0.0008554258332420517,1.02
233.0,1.020855425833242,0.966686821882098,-0.0008379465097674288,1.02
234.0,1.0208379465097674,0.9668509153193565,-0.0008208243496343748,1.02
235.0,1.0208208243496344,0.9670116557572568,-0.0008040520547545338,1.02
236.0,1.0208040520547546,0.9671691117092318,-0.0007876224761642625,1.02
237.0,1.0207876224761643,0.9673233502887466,-0.0007715286109779562,1.02
238.0,1.020771528610978,0.9674744372379049,-0.0007557635994044354,1.02
239.0,1.0207557635994045,0.9676224369554711,-0.0007403207218210639,1.02
240.0,1.020740320721821,0.9677674125243186,-0.000725193395910706,1.02
241.0,1.0207251933959107,0.9679094257383187,-0.0007103751738555264,1.02
242.0,1.0207103751738555,0.9680485371286789,-0.0006958597395898547,1.02
243.0,1.0206958597395899,0.9681848059897438,-0.0006816409061056738,1.02
244.0,1.0206816409061057,0.9683182904042681,-0.000667712612817617,1.02
245.0,1.0206677126128176,0.9684490472681739,-0.0006540689229799224,1.02
246.0,1.02065406892298,0.9685771323148024,-0.0006407040211551251,1.02
247.0,1.0206407040211551,0.9687026001386685,-0.0006276122107349291,1.02
248.0,1.020627612210735,0.9688255042187315,-0.0006147879115128152,1.02
249.0,1.0206147879115128,0.9689458969411896,-0.0006022256573043894,1.02
250.0,1.0206022256573044,0.9690638296218088,-0.0005899200936194671,1.02
251.0,1.0205899200936195,0.9691793525277957,-0.0005778659753781223,1.02
252.0,1.0205778659753781,0.9692925148992231,-0.000566058164676031,1.02
253.0,1.020566058164676,0.9694033649700179,-0.0005544916285940005,1.02
