t_s,y_pred,u_cmd,error,reference
160.0,-18.568399604509732,0.3,268.56839960450975,250.0
161.0,-18.568391408102336,0.3,268.56839140810234,250.0
162.0,-18.56838649829978,0.3,268.5683864982998,250.0
163.0,-18.56838494941143,0.3,268.56838494941144,250.0
164.0,-18.56838642789877,0.3,268.56838642789876,250.0
165.0,-18.56839029436308,0.3,268.5683902943631,250.0
166.0,-18.568395725945365,0.3,268.5683957259454,250.0
167.0,-18.568401841565514,0.3,268.5684018415655,250.0
168.0,-18.568407814792184,0.3,268.5684078147922,250.0
169.0,-18.56841296292979,0.3,268.5684129629298,250.0
170.0,-18.568416805467514,0.3,268.5684168054675,250.0
171.0,-18.568419089701997,0.3,268.568419089702,250.0
172.0,-18.568419785553555,0.3,268.56841978555354,250.0
173.0,-18.56841905491918,0.3,268.56841905491916,250.0
174.0,-18.568417203088508,0.3,268.56841720308853,250.0
175.0,-18.568414620708516,0.3,268.5684146207085,250.0
176.0,-18.56841172459417,0.3,268.56841172459417,250.0
177.0,-18.568408904543936,0.3,268.56840890454396,250.0
178.0,-18.56840648151116,0.3,268.56840648151115,250.0
179.0,-18.56840468032088,0.3,268.5684046803209,250.0
180.0,-18.56840361791606,0.3,268.56840361791603,250.0
181.0,-18.56840330613437,0.3,268.56840330613437,250.0
182.0,-18.568403666456064,0.3,268.56840366645605,250.0
183.0,-18.5684045531446,0.3,268.5684045531446,250.0
184.0,-18.568405780761385,0.3,268.5684057807614,250.0
185.0,-18.568407152137272,0.3,268.5684071521373,250.0
186.0,-18.56840848343131,0.3,268.5684084834313,250.0
187.0,-18.568409623768336,0.3,268.56840962376833,250.0
188.0,-18.568410467971795,0.3,268.5684104679718,250.0
189.0,-18.56841096195046,0.3,268.56841096195046,250.0
190.0,-18.568411101231987,0.3,268.56841110123196,250.0
191.0,-18.568410923869017,0.3,268.568410923869,250.0
192.0,-18.56841049941885,0.3,268.56841049941886,250.0
193.0,-18.568409915899764,0.3,268.5684099158998,250.0
194.0,-18.56840926657328,0.3,268.56840926657327,250.0
195.0,-18.568408638138205,0.3,268.5684086381382,250.0
196.0,-18.568408101512183,0.3,268.5684081015122,250.0
197.0,-18.56840770589064,0.3,268.56840770589065,250.0
198.0,-18.568407476280512,0.3,268.5684074762805,250.0
199.0,-18.568407414265927,0.3,268.56840741426595,250.0
200.0,-18.568407501419088,0.3,268.5684075014191,250.0
201.0,-18.568407704547756,0.3,268.5684077045478,250.0
202.0,-18.568407981878202,0.3,268.5684079818782,250.0
203.0,-18.568408289300738,0.3,268.56840828930075,250.0
204.0,-18.56840858593144,0.3,268.5684085859314,250.0
205.0,-18.568408838439094,0.3,268.5684088384391,250.0
206.0,-18.568409023816663,0.3,268.5684090238167,250.0
207.0,-18.56840913050926,0.3,268.5684091305093,250.0
208.0,-18.568409158018053,0.3,268.568409158018,250.0
209.0,-18.5684091152609,0.3,268.5684091152609,250.0
210.0,-18.568409018074032,0.3,268.568409018074,250.0
211.0,-18.56840888628146,0.3,268.5684088862815,250.0
212.0,-18.568408740744104,0.3,268.5684087407441,250.0
213.0,-18.568408600739907,0.3,268.56840860073993,250.0
214.0,-18.56840848193307,0.3,268.5684084819331,250.0
215.0,-18.568408395081438,0.3,268.56840839508146,250.0
216.0,-18.56840834552121,0.3,268.5684083455212,250.0
217.0,-18.568408333370257,0.3,268.56840833337026,250.0
218.0,-18.568408354315782,0.3,268.5684083543158,250.0
219.0,-18.568408400803545,0.3,268.56840840080355,250.0
220.0,-18.568408463426827,0.3,268.5684084634268,250.0
221.0,-18.56840853232054,0.3,268.5684085323205,250.0
222.0,-18.568408598395244,0.3,268.56840859839525,250.0
223.0,-18.568408654290145,0.3,268.5684086542901,250.0
224.0,-18.568408694975815,0.3,268.5684086949758,250.0
225.0,-18.56840871798935,0.3,268.56840871798937,250.0
226.0,-18.56840872333065,0.3,268.56840872333066,250.0
227.0,-18.56840871308414,0.3,268.5684087130841,250.0
228.0,-18.568408690852728,0.3,268.5684086908527,250.0
229.0,-18.568408661099582,0.3,268.56840866109957,250.0
