timestamp,target_time,El1_Resistance_mOhm_filt,El1_dpos_mps_filt_lag1,El1_dpos_mps_filt_lag2,El1_dpos_mps_filt_lag3,El1_kA_filt_lag1,El1_kA_filt_lag2,RMS_V_transformer_filt_lag1,y_filt_lag1,y_filt_lag2
2022-07-07 02:20:30+00:00,2022-07-07 02:20:30+00:00,1.463347186891054,8.453280938517875e-05,5.951676321179817e-05,3.632882246893679e-05,109.05488810474688,109.27108190016,168.35479746202287,1.4533243697997658,1.4429089603815786
2022-07-07 02:20:31+00:00,2022-07-07 02:20:31+00:00,1.4727539328320347,0.0001095938852054,8.453280938517875e-05,5.951676321179817e-05,108.84739796932162,109.05488810474688,168.44131572199296,1.463347186891054,1.4533243697997658
2022-07-07 02:20:32+00:00,2022-07-07 02:20:32+00:00,1.4812878521446906,0.0001324578254061,0.0001095938852054,8.453280938517875e-05,108.64799595536012,108.84739796932162,168.51883712036343,1.4727539328320347,1.463347186891054
2022-07-07 02:20:33+00:00,2022-07-07 02:20:33+00:00,1.4887318349085763,0.0001505054896994,0.0001324578254061,0.0001095938852054,108.4570297005794,108.64799595536012,168.5864696853945,1.4812878521446906,1.4727539328320347
2022-07-07 02:20:34+00:00,2022-07-07 02:20:34+00:00,1.4949463016564013,0.0001608563063327,0.0001505054896994,0.0001324578254061,108.2757801746495,108.4570297005794,168.6434057185335,1.4887318349085763,1.4812878521446906
2022-07-07 02:20:35+00:00,2022-07-07 02:20:35+00:00,1.4998774766457812,0.0001605110953551,0.0001608563063327,0.0001505054896994,108.10633978984669,108.2757801746495,168.68915985994096,1.4949463016564013,1.4887318349085763
2022-07-07 02:20:36+00:00,2022-07-07 02:20:36+00:00,1.5035461662324328,0.000146524793579,0.0001605110953551,0.0001608563063327,107.95143939188864,108.10633978984669,168.723758560135,1.4998774766457812,1.4949463016564013
2022-07-07 02:20:37+00:00,2022-07-07 02:20:37+00:00,1.5060026581477646,0.0001162209770678,0.000146524793579,0.0001605110953551,107.81425994232772,107.95143939188864,168.74783815693132,1.5035461662324328,1.4998774766457812
2022-07-07 02:20:38+00:00,2022-07-07 02:20:38+00:00,1.5072937769550647,6.745743611171292e-05,0.0001162209770678,0.000146524793579,107.69825337343536,107.81425994232772,168.76263125653983,1.5060026581477646,1.5035461662324328
2022-07-07 02:20:39+00:00,2022-07-07 02:20:39+00:00,1.507483217752689,-1.0665127127007612e-06,6.745743611171292e-05,0.0001162209770678,107.60698282167404,107.69825337343536,168.76984533831487,1.5072937769550647,1.5060026581477646
2022-07-07 02:20:40+00:00,2022-07-07 02:20:40+00:00,1.5066569632325868,-8.949742665050766e-05,-1.0665127127007612e-06,6.745743611171292e-05,107.54397715387948,107.60698282167404,168.77145764801665,1.507483217752689,1.5072937769550647
2022-07-07 02:20:41+00:00,2022-07-07 02:20:41+00:00,1.504870230514647,-0.0001965702321985,-8.949742665050766e-05,-1.0665127127007612e-06,107.51257973708024,107.54397715387948,168.76946393939278,1.5066569632325868,1.507483217752689
2022-07-07 02:20:42+00:00,2022-07-07 02:20:42+00:00,1.502096082835756,-0.0003194753554442,-0.0001965702321985,-8.949742665050766e-05,107.51576045124916,107.51257973708024,168.76562486774392,1.504870230514647,1.5066569632325868
2022-07-07 02:20:43+00:00,2022-07-07 02:20:43+00:00,1.49821871973598,-0.0004539077350239,-0.0003194753554442,-0.0001965702321985,107.55586247497668,107.51576045124916,168.761252500642,1.502096082835756,1.504870230514647
2022-07-07 02:20:44+00:00,2022-07-07 02:20:44+00:00,1.4930814804383616,-0.0005943261453066,-0.0004539077350239,-0.0003194753554442,107.63428009678076,107.55586247497668,168.75707033947657,1.49821871973598,1.502096082835756
2022-07-07 02:20:45+00:00,2022-07-07 02:20:45+00:00,1.4865878504369765,-0.0007344182290229,-0.0005943261453066,-0.0004539077350239,107.7511066154832,107.63428009678076,168.753164767493,1.4930814804383616,1.49821871973598
2022-07-07 02:20:46+00:00,2022-07-07 02:20:46+00:00,1.4788001292031543,-0.0008677352066838,-0.0007344182290229,-0.0005943261453066,107.90483315372896,107.7511066154832,168.74902760284832,1.4865878504369765,1.4930814804383616
2022-07-07 02:20:47+00:00,2022-07-07 02:20:47+00:00,1.469980134451006,-0.0009884255982473,-0.0008677352066838,-0.0007344182290229,108.0921956385035,107.90483315372896,168.74367332710605,1.4788001292031543,1.4865878504369765
2022-07-07 02:20:48+00:00,2022-07-07 02:20:48+00:00,1.46055167077687,-0.0010919544756518,-0.0009884255982473,-0.0008677352066838,108.30824311455498,108.0921956385035,168.73580456350163,1.469980134451006,1.4788001292031543
2022-07-07 02:20:49+00:00,2022-07-07 02:20:49+00:00,1.4509709464784224,-0.001175654187481,-0.0010919544756518,-0.0009884255982473,108.54664072683336,108.30824311455498,168.72399741207693,1.46055167077687,1.469980134451006
2022-07-07 02:20:50+00:00,2022-07-07 02:20:50+00:00,1.441569883337565,-0.0012389501691448,-0.001175654187481,-0.0010919544756518,108.80014963492944,108.54664072683336,168.70688397546496,1.4509709464784224,1.46055167077687
2022-07-07 02:20:51+00:00,2022-07-07 02:20:51+00:00,1.4325082262332651,-0.0012831809930115,-0.0012389501691448,-0.001175654187481,109.06117607652752,108.80014963492944,168.68331958208162,1.441569883337565,1.4509709464784224
2022-07-07 02:20:52+00:00,2022-07-07 02:20:52+00:00,1.4238615153004135,-0.0013110717612918,-0.0012831809930115,-0.0012389501691448,109.3222763273958,109.06117607652752,168.6525307569523,1.4325082262332651,1.441569883337565
2022-07-07 02:20:53+00:00,2022-07-07 02:20:53+00:00,1.4157494023607586,-0.0013260416442949,-0.0013110717612918,-0.0012831809930115,109.57654313389592,109.3222763273958,168.61424158816183,1.4238615153004135,1.4325082262332651
2022-07-07 02:20:54+00:00,2022-07-07 02:20:54+00:00,1.4084113999270371,-0.0013315503767482,-0.0013260416442949,-0.0013110717612918,109.81785552691628,109.57654313389592,168.56877108247957,1.4157494023607586,1.4238615153004135
2022-07-07 02:20:55+00:00,2022-07-07 02:20:55+00:00,1.4021695837478376,-0.001330613355667,-0.0013315503767482,-0.0013260416442949,110.04101391988765,109.81785552691628,168.5170883484381,1.4084113999270371,1.4157494023607586
2022-07-07 02:20:56+00:00,2022-07-07 02:20:56+00:00,1.397304507714586,-0.0013255078329347,-0.001330613355667,-0.0013315503767482,110.24179061424206,110.04101391988765,168.4608122851392,1.4021695837478376,1.4084113999270371
2022-07-07 02:20:57+00:00,2022-07-07 02:20:57+00:00,1.3939610177298245,-0.0013176297243158,-0.0013255078329347,-0.001330613355667,110.41691204887452,110.24179061424206,168.4021496115398,1.397304507714586,1.4021695837478376
2022-07-07 02:20:58+00:00,2022-07-07 02:20:58+00:00,1.3921407308022085,-0.0013074718100242,-0.0013176297243158,-0.0013255078329347,110.56397529269316,110.41691204887452,168.3437761043804,1.3939610177298245,1.397304507714586
2022-07-07 02:20:59+00:00,2022-07-07 02:20:59+00:00,1.3917303071052445,-0.0012947406078542,-0.0013074718100242,-0.0013176297243158,110.68130235016932,110.56397529269316,168.28867530575863,1.3921407308022085,1.3939610177298245
2022-07-07 02:21:00+00:00,2022-07-07 02:21:00+00:00,1.3925201666557652,-0.0012786425512384,-0.0012947406078542,-0.0013074718100242,110.76775003113848,110.68130235016932,168.23995307709188,1.3917303071052445,1.3921407308022085
2022-07-07 02:21:01+00:00,2022-07-07 02:21:01+00:00,1.3942337821399975,-0.0012583214732028,-0.0012786425512384,-0.0012947406078542,110.8225101492947,110.76775003113848,168.2006452248161,1.3925201666557652,1.3917303071052445
2022-07-07 02:21:02+00:00,2022-07-07 02:21:02+00:00,1.3965881659999495,-0.0012333484049127,-0.0012583214732028,-0.0012786425512384,110.8449478451012,110.8225101492947,168.17353130599864,1.3942337821399975,1.3925201666557652
2022-07-07 02:21:03+00:00,2022-07-07 02:21:03+00:00,1.3993670953651511,-0.0012041091614687,-0.0012333484049127,-0.0012583214732028,110.83452996947672,110.8449478451012,168.16096291207876,1.3965881659999495,1.3942337821399975
2022-07-07 02:21:04+00:00,2022-07-07 02:21:04+00:00,1.4024675638107726,-0.0011719552324746,-0.0012041091614687,-0.0012333484049127,110.7908828500541,110.83452996947672,168.16471027022018,1.3993670953651511,1.3965881659999495
2022-07-07 02:21:05+00:00,2022-07-07 02:21:05+00:00,1.4058827787135286,-0.0011390811290644,-0.0011719552324746,-0.0012041091614687,110.71398547650595,110.7908828500541,168.1858268380547,1.4024675638107726,1.3993670953651511
2022-07-07 02:21:06+00:00,2022-07-07 02:21:06+00:00,1.4096482468723268,-0.0011082035314737,-0.0011390811290644,-0.0011719552324746,110.60445982636202,110.71398547650595,168.22452822705372,1.4058827787135286,1.4024675638107726
2022-07-07 02:21:07+00:00,2022-07-07 02:21:07+00:00,1.4138275203149162,-0.0010821692007591,-0.0011082035314737,-0.0011390811290644,110.4638851752626,110.60445982636202,168.2800824278613,1.4096482468723268,1.4058827787135286
2022-07-07 02:21:08+00:00,2022-07-07 02:21:08+00:00,1.418521678529079,-0.0010635921063833,-0.0010821692007591,-0.0011082035314737,110.29505468511692,110.4638851752626,168.35071676874776,1.4138275203149162,1.4096482468723268
2022-07-07 02:21:09+00:00,2022-07-07 02:21:09+00:00,1.4237930369962768,-0.0010545580538857,-0.0010635921063833,-0.0010821692007591,110.1021095347996,110.29505468511692,168.43356212365063,1.418521678529079,1.4138275203149162
2022-07-07 02:21:10+00:00,2022-07-07 02:21:10+00:00,1.4295302850953724,-0.0010563930054868,-0.0010545580538857,-0.0010635921063833,109.89051161041446,110.1021095347996,168.52466873362874,1.4237930369962768,1.418521678529079
2022-07-07 02:21:11+00:00,2022-07-07 02:21:11+00:00,1.4354280910039654,-0.0010694958179509,-0.0010563930054868,-0.0010545580538857,109.6668381800626,109.89051161041446,168.61913144465117,1.4295302850953724,1.4237930369962768
2022-07-07 02:21:12+00:00,2022-07-07 02:21:12+00:00,1.4411325904714032,-0.0010932655330868,-0.0010694958179509,-0.0010563930054868,109.43840663237113,109.6668381800626,168.71135058026042,1.4354280910039654,1.4295302850953724
2022-07-07 02:21:13+00:00,2022-07-07 02:21:13+00:00,1.4464094029418848,-0.0011261604205421,-0.0010932655330868,-0.0010694958179509,109.21277108585994,109.43840663237113,168.79542965828048,1.4411325904714032,1.4354280910039654
