t_s,y1,y2,y3,r1,r2,r3,u1,u2,u3,e1,e2,e3
33.0,1.0700103411943414,1.0646807855879927,1.0813074940687701,1.02,1.02,1.02,1.0105709816757882,0.8084466046536786,0.43616262841042686,-0.05000906914746772,-0.044679255654661576,-0.06130580337294922
34.0,1.0700090691474677,1.0646792556546616,1.0813058033729492,1.02,1.02,1.02,1.0095708002928387,0.8075530195405853,0.4349365123429679,-0.050007797140563026,-0.0446777257660993,-0.06130411272054914
35.0,1.070007797140563,1.0646777257660993,1.0813041127205492,1.02,1.02,1.02,1.0085706443500275,0.8066594650252633,0.43371043008855686,-0.050006525173625915,-0.04467619592230454,-0.061302422111569
36.0,1.070006525173626,1.0646761959223046,1.081302422111569,1.02,1.02,1.02,1.007570513846555,0.8057659411068172,0.43248438164632547,-0.05000525324665506,-0.04467466612327642,-0.061300731546007015
37.0,1.070005253246655,1.0646746661232764,1.081300731546007,1.02,1.02,1.02,1.0065704087816219,0.8048724477843516,0.4312583670154053,-0.05000398135964956,-0.0446731363690136,-0.0612990410238623
38.0,1.0700039813596496,1.0646731363690136,1.0812990410238623,1.02,1.02,1.02,1.005570329154429,0.8039789850569714,0.43003238619492806,-0.05000270951260788,-0.044671606659515195,-0.0612973505451333
39.0,1.070002709512608,1.0646716066595152,1.0812973505451333,1.02,1.02,1.02,1.0045702749641767,0.8030855529237811,0.4288064391840254,-0.050001437705528895,-0.044670076994780095,-0.061295660109818684
40.0,1.070001437705529,1.0646700769947801,1.0812956601098187,1.02,1.02,1.02,1.0035702462100662,0.8021921513838856,0.427580525981829,-0.0500001659384115,-0.044668547374806966,-0.06129396971791756
41.0,1.0700001659384115,1.064668547374807,1.0812939697179176,1.02,1.02,1.02,1.002570242891298,0.8012987804363895,0.42635464658747063,-0.04999889421125436,-0.04466701779959492,-0.06129227936942816
42.0,1.0699988942112544,1.064667017799595,1.0812922793694282,1.02,1.02,1.02,1.0015702650070728,0.8004054400803976,0.42512880100008205,-0.04999762252405637,-0.04466548826914263,-0.06129058906434959
43.0,1.0699976225240564,1.0646654882691426,1.0812905890643496,1.02,1.02,1.02,1.0005703125565917,0.7995121303150148,0.42390298921879505,-0.04999635087681642,-0.04466395878344942,-0.06128889880268029
44.0,1.0699963508768164,1.0646639587834494,1.0812888988026803,1.02,1.02,1.02,0.9995703855390553,0.7986188511393458,0.42267721124274144,-0.04999507926953295,-0.044662429342513965,-0.06128720858441916
45.0,1.069995079269533,1.064662429342514,1.0812872085844192,1.02,1.02,1.02,0.9985704839536647,0.7977256025524956,0.4214514670710531,-0.04999380770220485,-0.04466089994633493,-0.061285518409564865
46.0,1.0699938077022049,1.064660899946335,1.0812855184095649,1.02,1.02,1.02,0.9975706077996206,0.7968323845535689,0.4202257567028618,-0.04999253617483124,-0.04465937059491165,-0.06128382827811607
47.0,1.0699925361748313,1.0646593705949117,1.081283828278116,1.02,1.02,1.02,0.996570757076124,0.7959391971416706,0.41900008013729945,-0.04999126468741055,-0.044657841288242794,-0.06128213819007167
48.0,1.0699912646874106,1.0646578412882428,1.0812821381900717,1.02,1.02,1.02,0.9955709317823758,0.7950460403159058,0.417774437373498,-0.049989993239941466,-0.04465631202632725,-0.0612804481454301
49.0,1.0699899932399415,1.0646563120263273,1.0812804481454301,1.02,1.02,1.02,0.994571131917577,0.7941529140753792,0.41654882841058943,-0.04998872183242331,-0.04465478280916413,-0.06127875814419026
50.0,1.0699887218324233,1.0646547828091641,1.0812787581441903,1.02,1.02,1.02,0.9935713574809285,0.793259818419196,0.41532325324770564,-0.04998745046485431,-0.0446532536367521,-0.061277068186350814
51.0,1.0699874504648543,1.0646532536367521,1.0812770681863508,1.02,1.02,1.02,0.9925716084716314,0.792366753346461,0.41409771188397865,-0.04998617913723358,-0.04465172450909005,-0.06127537827191043
52.0,1.0699861791372336,1.06465172450909,1.0812753782719104,1.02,1.02,1.02,0.9915718848888867,0.7914737188562792,0.41287220431854044,-0.04998490784956,-0.0446501954261771,-0.061273688400867776
53.0,1.06998490784956,1.0646501954261771,1.0812736884008678,1.02,1.02,1.02,0.9905721867318955,0.7905807149477556,0.4116467305505231,-0.04998363660183203,-0.044648666388011904,-0.06127199857322174
54.0,1.069983636601832,1.064648666388012,1.0812719985732218,1.02,1.02,1.02,0.9895725139998589,0.7896877416199953,0.41042129057905863,-0.049982365394048545,-0.04464713739459358,-0.061270308788970995
55.0,1.0699823653940486,1.0646471373945936,1.081270308788971,1.02,1.02,1.02,0.988572866691978,0.7887947988721035,0.4091958844032792,-0.049981094226208445,-0.044645608445921026,-0.0612686190481142
56.0,1.0699810942262085,1.064645608445921,1.0812686190481142,1.02,1.02,1.02,0.9875732448074538,0.7879018867031851,0.40797051202231693,-0.049979823098310394,-0.04464407954199312,-0.06126692935065026
57.0,1.0699798230983104,1.0646440795419931,1.0812669293506503,1.02,1.02,1.02,0.9865736483454876,0.7870090051123452,0.4067451734353039,-0.04997855201035328,-0.044642550682808535,-0.0612652396965776
58.0,1.0699785520103533,1.0646425506828086,1.0812652396965776,1.02,1.02,1.02,0.9855740773052805,0.786116154098689,0.40551986864137235,-0.04997728096233578,-0.04464102186836638,-0.061263550085895124
